category,batch,key,tests,pairedCompleted,baselineStatus,baselineReason,fspecStatus,fspecReason,baselineTotalRuntimeMs,fspecTotalRuntimeMs,baselineProjectedCG,fspecProjectedCG
ldapi,14,ldapi-b0014-b908b13ad0,BenchmarkTest01501;BenchmarkTest01568,False,completed,,excluded,flowdroid-oom+termination-2,362350,820511,38404,34853
ldapi,15,ldapi-b0015-3bfc05025e,BenchmarkTest01569;BenchmarkTest01743,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,611359,786183,38444,34893
ldapi,20,ldapi-b0020-24163dee7f,BenchmarkTest01909;BenchmarkTest02025,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,8003493,0,34666
ldapi,23,ldapi-b0023-e648555318,BenchmarkTest02115;BenchmarkTest02116,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,6497085,6430779,38195,34645
ldapi,27,ldapi-b0027-a5d55f18d4,BenchmarkTest02384;BenchmarkTest02472,False,completed,,excluded,flowdroid-oom+termination-2,132334,783287,38399,34848
ldapi,28,ldapi-b0028-2b56c39113,BenchmarkTest02553;BenchmarkTest02571,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,6560983,4050967,38230,34667
pathtraver,3,pathtraver-b0003-12f13fe32b,BenchmarkTest00060;BenchmarkTest00061,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,716635,943111,37660,34243
pathtraver,4,pathtraver-b0004-cbf3114b95,BenchmarkTest00062;BenchmarkTest00063,False,excluded,flowdroid-oom+termination-2,missing,process-timeout,4165358,0,37530,0
pathtraver,5,pathtraver-b0005-02ae0fc23d,BenchmarkTest00064;BenchmarkTest00065,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,751308,1018854,37721,34302
pathtraver,7,pathtraver-b0007-304d7a33ca,BenchmarkTest00133;BenchmarkTest00134,False,excluded,flowdroid-oom+termination-2,completed,,652058,96035,37500,34084
pathtraver,9,pathtraver-b0009-0ec1d7b179,BenchmarkTest00137;BenchmarkTest00215,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,587116,640707,37518,34100
pathtraver,16,pathtraver-b0016-8b32d6039d,BenchmarkTest00359;BenchmarkTest00360,False,excluded,flowdroid-oom+termination-2,completed,,794725,210162,37659,34253
pathtraver,18,pathtraver-b0018-d3ef27ab04,BenchmarkTest00363;BenchmarkTest00364,False,excluded,flowdroid-oom+termination-2,completed,,497230,80403,37462,34059
pathtraver,19,pathtraver-b0019-2ab0142498,BenchmarkTest00365;BenchmarkTest00366,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,576870,641670,37512,34105
pathtraver,28,pathtraver-b0028-70a726a09f,BenchmarkTest00621;BenchmarkTest00622,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,8444769,4683999,37671,34267
pathtraver,29,pathtraver-b0029-d0a082c531,BenchmarkTest00623;BenchmarkTest00624,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,441127,629865,37659,34255
pathtraver,30,pathtraver-b0030-9838cb9789,BenchmarkTest00625;BenchmarkTest00626,False,excluded,flowdroid-oom+termination-2,completed,,669380,95187,37454,34051
pathtraver,31,pathtraver-b0031-4efccca10c,BenchmarkTest00627;BenchmarkTest00628,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1711995,5759465,37697,34293
pathtraver,33,pathtraver-b0033-1c4f46eee9,BenchmarkTest00697;BenchmarkTest00698,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,486223,877226,37299,33885
pathtraver,34,pathtraver-b0034-db30ff18bd,BenchmarkTest00699;BenchmarkTest00700,False,excluded,flowdroid-oom+termination-2,completed,,551600,293786,37635,34231
pathtraver,35,pathtraver-b0035-9d6613597c,BenchmarkTest00783;BenchmarkTest00784,False,excluded,flowdroid-oom+termination-2,missing,process-timeout,5915979,0,37513,0
pathtraver,36,pathtraver-b0036-11db52293a,BenchmarkTest00785;BenchmarkTest00786,False,missing,process-timeout,missing,process-timeout,0,0,0,0
pathtraver,37,pathtraver-b0037-37b4157b55,BenchmarkTest00787;BenchmarkTest00788,False,excluded,flowdroid-oom+termination-2,completed,,774278,210744,37701,34284
pathtraver,42,pathtraver-b0042-91e4dece59,BenchmarkTest00951;BenchmarkTest00952,False,excluded,flowdroid-oom+termination-2,completed,,598732,268328,37491,34075
