category,batch,key,tests,pairedCompleted,baselineStatus,baselineReason,fspecStatus,fspecReason,baselineTotalRuntimeMs,fspecTotalRuntimeMs,baselineProjectedCG,fspecProjectedCG
cmdi,65,cmdi-b0065-77e1e08492,BenchmarkTest01444;BenchmarkTest01445,True,completed,,completed,,47343,92556,37825,34007
cmdi,66,cmdi-b0066-a434c38562,BenchmarkTest01446;BenchmarkTest01516,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,578417,803900,38065,34236
cmdi,67,cmdi-b0067-df6fa53781,BenchmarkTest01517;BenchmarkTest01526,True,completed,,completed,,46422,84228,37819,33976
cmdi,68,cmdi-b0068-11429f06e5,BenchmarkTest01527;BenchmarkTest01528,True,completed,,completed,,45248,80085,37823,33980
cmdi,69,cmdi-b0069-9b60f0c60c,BenchmarkTest01529;BenchmarkTest01530,True,completed,,completed,,45756,86040,37832,34003
cmdi,70,cmdi-b0070-acec7774f3,BenchmarkTest01531;BenchmarkTest01532,True,completed,,completed,,47114,81543,37841,34024
cmdi,71,cmdi-b0071-c680e6959e,BenchmarkTest01533;BenchmarkTest01600,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,477548,761873,38022,34204
cmdi,72,cmdi-b0072-3975717920,BenchmarkTest01601;BenchmarkTest01606,True,completed,,completed,,72765,110050,37828,33985
cmdi,73,cmdi-b0073-54d977b04c,BenchmarkTest01607;BenchmarkTest01608,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,4846652,0,34014
cmdi,74,cmdi-b0074-f9f66fd253,BenchmarkTest01609;BenchmarkTest01610,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,549773,959710,38025,34196
cmdi,75,cmdi-b0075-a9937ac7f5,BenchmarkTest01672;BenchmarkTest01673,True,completed,,completed,,47546,88016,37784,33886
cmdi,76,cmdi-b0076-f81ce049d3,BenchmarkTest01674;BenchmarkTest01685,True,completed,,completed,,47023,87800,37872,34030
cmdi,77,cmdi-b0077-1897c27a23,BenchmarkTest01686;BenchmarkTest01687,True,completed,,completed,,47707,82623,37859,34029
cmdi,78,cmdi-b0078-322c284acd,BenchmarkTest01688;BenchmarkTest01689,True,completed,,completed,,46789,84185,37862,34020
cmdi,79,cmdi-b0079-da528f99d1,BenchmarkTest01690;BenchmarkTest01691,True,completed,,completed,,50793,88051,37850,34019
cmdi,80,cmdi-b0080-ee4f27bb0c,BenchmarkTest01692;BenchmarkTest01693,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,560032,934615,38096,34254
cmdi,81,cmdi-b0081-c89fc30ce0,BenchmarkTest01778;BenchmarkTest01779,True,completed,,completed,,48303,84158,37772,33887
cmdi,82,cmdi-b0082-eee603d3e2,BenchmarkTest01780;BenchmarkTest01791,True,completed,,completed,,52838,90532,37825,33982
cmdi,83,cmdi-b0083-9af5a67c0b,BenchmarkTest01792;BenchmarkTest01793,True,completed,,completed,,49005,85151,37826,34008
cmdi,84,cmdi-b0084-b20e381696,BenchmarkTest01794;BenchmarkTest01795,True,completed,,completed,,50303,76508,37835,34018
cmdi,85,cmdi-b0085-7513ad2998,BenchmarkTest01796;BenchmarkTest01850,True,completed,,completed,,48254,79525,37849,34019
cmdi,86,cmdi-b0086-b44f7b72f0,BenchmarkTest01851;BenchmarkTest01852,True,completed,,completed,,47665,86708,37772,33874
cmdi,87,cmdi-b0087-4b3c87fb92,BenchmarkTest01864;BenchmarkTest01865,True,completed,,completed,,49229,88979,37858,34016
cmdi,88,cmdi-b0088-cc1700e331,BenchmarkTest01928;BenchmarkTest01929,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,5829772,6061193,37781,33883
cmdi,89,cmdi-b0089-7a5ef02edf,BenchmarkTest01936;BenchmarkTest01937,True,completed,,completed,,45507,91481,37859,34003
cmdi,90,cmdi-b0090-14ba6e133a,BenchmarkTest01938;BenchmarkTest01939,True,completed,,completed,,48590,90363,37860,34030
